Marca,Modelo,Ano,Quilometros,Portas,Lugares,Mudancas,Preco
Lexus,IS220,2009,119985,4,5,6,17750
Peugeot,2008,2014,130000,5,5,6,14500
BMW,116|serie-1,2012,148000,5,5,5,15990
Ford,Fiesta,2013,98000,3,5,6,11900
Peugeot,208,2014,129000,5,5,5,12850
Citroën,C4Picasso,2014,139000,5,5,6,13990
Citroën,2CV,1961,65000,5,5,9,6000
Opel,Frontera,1999,175000,5,5,5,3750
Ford,Focus,2015,166000,4,5,5,13900
BMW,116,2016,22000,3,4,6,21750
BMW,520,2011,207750,2,4,8,20800
Peugeot,208,2015,100000,5,5,5,11800
Opel,AstraCaravan,2005,195000,5,5,5,4980
Renault,Clio,2001,181200,5,5,6,2450
Mercedes-Benz,CLK230,2002,219000,5,5,5,8980
Peugeot,3008,2013,53000,2,5,6,16750
Citroën,C5,2007,189000,5,2,6,5480
Chevrolet,Spark,2012,75000,7,5,5,7490
Outranãolistada,Microcar,2015,50800,3,7,5,10000
Citroën,C1,2011,117000,5,2,8,5600
Toyota,Prius+,2013,159000,5,7,6,16500
BMW,420,2016,74300,5,5,6,43900
Mitsubishi,Outlander,2014,162000,5,5,6,21500
Toyota,Yaris,2014,121200,5,5,5,13990
Citroën,DS5,2013,165000,5,5,5,17500
BMW,116,2014,161100,5,5,6,19500
VW,PassatVariant,2002,204628,5,5,6,5000
Jaguar,XF,2008,245000,5,5,5,17500
Opel,Corsa,2016,7078,5,5,6,15100
VW,PassatVariant,2015,105000,5,5,6,22900
VW,NewBeetle,2000,129000,3,5,5,4250
Mercedes-Benz,CLK220,2006,236428,5,5,5,13950
Volvo,V40,2013,158000,5,5,6,14250
Honda,HR-V,2018,10,5,5,6,24990
VW,Polo,2010,158000,5,5,5,9800
Chevrolet,Captiva,2008,173000,5,7,5,10350
Jaguar,XKR,2000,65000,2,2,5,19500
Renault,MéganeSportTourer,2014,97600,5,5,6,14990
Citroën,C4,2013,123000,5,5,6,14300
MINI,Countryman,2011,145000,5,5,5,14950
Peugeot,308,2015,173346,5,5,5,14999
SEAT,Ibiza,2012,74500,5,5,5,10500
Ford,Maverick,2006,256920,3,5,9,5250
Renault,Clio,1992,180000,2,5,6,10750
Peugeot,308SW,2015,131000,4,5,6,13750
Audi,A3Sportback,2010,213751,5,5,6,13500
Mercedes-Benz,GLC250,2017,16003,5,5,5,52500
MINI,Countryman,2010,90000,5,5,5,15500
VW,Golf,2017,28113,5,5,6,19900
Ford,Fiesta,2010,60400,5,5,8,7590
Renault,Mégane,2007,170000,5,5,5,5400
Volvo,V40,2013,179000,5,2,7,14990
Porsche,911,2017,4400,2,5,5,235000
SEAT,Leon,2015,107000,5,5,6,13900
Fiat,Punto,2018,14,5,5,7,11990
Citroën,DS5,2013,86000,5,5,5,15750
SEAT,Leon,2014,149974,5,5,5,15240
BMW,320,2007,90000,3,5,6,16250
Porsche,Macan,2016,4844,5,5,6,80000
Peugeot,508RXH,2015,135928,5,5,6,24240
VW,Golf,2004,129000,5,5,6,4850
MINI,One,2014,69940,3,5,6,15690
BMW,318,2007,198765,5,5,5,10750
VW,Up,2013,73000,5,4,5,6500
Volvo,C30,2013,59194,3,5,5,13900
Mercedes-Benz,A45AMG,2015,37200,5,4,6,45900
VW,Up,2017,22100,4,5,5,11750
SEAT,Ibiza,2011,97500,5,5,6,10900
Mercedes-Benz,C220,2004,411000,5,5,6,6950
LandRover,Discovery,1998,208588,5,5,6,7800
Nissan,Juke,2016,14000,5,5,5,17500
SEAT,Leon,2014,68000,5,2,5,15500
Peugeot,206,2001,180000,2,1,5,2499
Smart,ForTwo,2015,17000,5,4,5,10250
Fiat,Tipo,2016,17000,4,5,5,15790
Fiat,500X,2016,31985,5,5,5,16490
Kia,CeedSW,2013,44493,5,5,6,18750
Honda,CR-V,2016,17943,5,5,6,26750
Honda,CR-V,2016,3195,5,5,6,33950
Kia,Carens,2016,16212,5,7,6,25950
Kia,Soul,2016,19950,5,5,6,23950
Kia,CeedSW,2017,10959,5,5,6,24490
Kia,Carens,2016,20262,5,7,6,25450
Kia,OptimaSW,2017,2250,5,5,7,38450
Kia,Rio,2017,12500,5,5,6,18980
Kia,Picanto,2017,1750,5,5,5,11450
Ford,B-Max,2017,1500,5,5,5,14750
Renault,Espace,2000,145000,5,7,7,3500
Peugeot,207,2010,108000,5,5,6,9900
Jaguar,F-Pace,2016,47790,5,5,6,56000
Mercedes-Benz,C220,2014,141000,5,5,5,29900
Audi,A3,2009,230000,3,5,5,10500
SEAT,Ibiza,2014,146145,5,5,5,9390
Volvo,XC60,2008,245322,5,5,5,16900
Peugeot,206SW,2004,118000,5,5,5,3950
Audi,A1Sportback,2014,136000,5,5,6,16500
BMW,520,2012,157443,5,5,5,23900
Citroën,DS5,2013,139200,5,5,6,19450
Ford,MondeoSW,2015,136000,5,5,8,18500
BMW,116|serie-1,2013,143000,5,5,5,16500
Toyota,Avensis,2014,170000,5,5,5,17500
SEAT,Leon,2009,140000,5,5,6,14990
MINI,Cooper,2015,109000,3,5,6,16250
Renault,MéganeSportTourer,2015,118000,5,5,6,13000
Mercedes-Benz,S320,2001,329000,5,5,7,7500
BMW,320,2007,228822,5,5,8,14000
Renault,ClioSportTourer,2015,148000,5,5,6,13500
Renault,ClioSportTourer,2014,159000,5,5,6,9650
BMW,640,2013,165000,3,5,6,44500
BMW,525,2011,237747,5,5,5,25500
Opel,AstraSportsTourer,2012,170000,5,5,5,10900
Peugeot,508SW,2014,150000,5,5,8,22000
Mercedes-Benz,CLA200,2016,139950,5,4,6,28950
Audi,A1,2012,157937,3,5,6,13900
SEAT,Leon,2014,113501,5,5,6,13290
Renault,Mégane,2013,166000,5,5,5,12990
Renault,Kangoo,2013,63862,5,5,5,13990
Renault,Twingo,2011,21000,3,4,5,8000
Audi,Q5,2010,192000,5,5,6,22000
Mercedes-Benz,E220,2010,192000,5,5,6,20500
Kia,Rio,2003,142000,5,5,6,2350
BMW,X6,2010,240000,5,5,7,31500
Nissan,Patrol,1999,365000,5,5,8,12250
Peugeot,407,2005,220000,5,5,7,5400
Toyota,Auris,2014,111000,5,5,5,15650
Mercedes-Benz,GLA200,2014,64000,5,5,5,29500
SEAT,Ibiza,2001,305000,3,5,5,3950
Dacia,Duster,2010,93000,5,5,6,11750
Peugeot,2008,2015,26000,5,5,6,15800
Renault,Mégane,2016,49000,5,4,6,19900
